N,iters,frac,mode,metric,time_ms,bandwidth_GBps
1024,1,0.2,gh_hmm_pageable,Compute E2E (whole loop),124.639,
1024,1,0.2,gh_hmm_pageable,Full    E2E,124.639,
1024,1,0.2,gh_hmm_pageable,CPU read time,0.783,
1024,1,0.2,gh_hmm_pageable_cuda_init,WARMUP GPU Kernel (first iter),0.025,
1024,1,0.2,gh_hmm_pageable_cuda_init,WARMUP CPU compute (first iter),0.947,
1024,1,0.2,gh_hmm_pageable_cuda_init,WARMUP total time,1.708,
1024,1,0.2,gh_hmm_pageable_cuda_init,Pre Kernel Costs,0.0,
1024,1,0.2,gh_hmm_pageable_cuda_init,GPU Kernel avg,0.009,
1024,1,0.2,gh_hmm_pageable_cuda_init,CPU compute,0.379,
1024,1,0.2,gh_hmm_pageable_cuda_init,GPU Kernel total,0.009,
1024,1,0.2,gh_hmm_pageable_cuda_init,CPU compute total,0.379,
1024,1,0.2,gh_hmm_pageable_cuda_init,Compute E2E (avg per-iter),0.428,
1024,1,0.2,gh_hmm_pageable_cuda_init,Compute E2E (whole loop),2.922,
1024,1,0.2,gh_hmm_pageable_cuda_init,Full    E2E,2.922,
1024,1,0.2,gh_hmm_pageable_cuda_init,CPU read time,0.782,
1024,1,0.4,explicit,WARMUP GPU Kernel (first iter),0.073,
1024,1,0.4,explicit,WARMUP CPU compute (first iter),0.784,
1024,1,0.4,explicit,WARMUP total time,1.6,
1024,1,0.4,explicit,Pre Kernel Costs,0.087,
1024,1,0.4,explicit,H2D once,0.087,
1024,1,0.4,explicit,D2H avg per-iter,0.025,
1024,1,0.4,explicit,GPU Kernel avg,0.007,
1024,1,0.4,explicit,CPU compute,0.519,
1024,1,0.4,explicit,GPU Kernel total,0.007,
1024,1,0.4,explicit,CPU compute total,0.519,
1024,1,0.4,explicit,Compute E2E (avg per-iter),0.59,
1024,1,0.4,explicit,Compute E2E (whole loop),2.854,
1024,1,0.4,explicit,Full    E2E,2.941,
1024,1,0.4,explicit,CPU read time,0.659,
1024,1,0.4,um_migrate,WARMUP GPU Kernel (first iter),0.171,
1024,1,0.4,um_migrate,WARMUP CPU compute (first iter),1.674,
1024,1,0.4,um_migrate,WARMUP total time,4.158,
1024,1,0.4,um_migrate,Pre Kernel Costs,1.545,
1024,1,0.4,um_migrate,UM prefetch-to-GPU,1.545,
1024,1,0.4,um_migrate,UM prefetch-to-CPU (post),0.074,
1024,1,0.4,um_migrate,GPU Kernel avg,0.007,
1024,1,0.4,um_migrate,CPU compute,1.374,
1024,1,0.4,um_migrate,GPU Kernel total,0.007,
1024,1,0.4,um_migrate,CPU compute total,1.374,
1024,1,0.4,um_migrate,Compute E2E (avg per-iter),1.419,
1024,1,0.4,um_migrate,Compute E2E (whole loop),6.342,
1024,1,0.4,um_migrate,Full    E2E,7.887,
1024,1,0.4,um_migrate,CPU read time,0.687,
1024,1,0.4,um_migrate_no_prefetch,WARMUP GPU Kernel (first iter),4.347,
1024,1,0.4,um_migrate_no_prefetch,WARMUP CPU compute (first iter),1.245,
1024,1,0.4,um_migrate_no_prefetch,WARMUP total time,5.871,
1024,1,0.4,um_migrate_no_prefetch,Pre Kernel Costs,0.0,
1024,1,0.4,um_migrate_no_prefetch,GPU Kernel avg,4.104,
1024,1,0.4,um_migrate_no_prefetch,CPU compute,3.267,
1024,1,0.4,um_migrate_no_prefetch,GPU Kernel total,4.104,
1024,1,0.4,um_migrate_no_prefetch,CPU compute total,3.267,
1024,1,0.4,um_migrate_no_prefetch,Compute E2E (avg per-iter),4.13,
1024,1,0.4,um_migrate_no_prefetch,Compute E2E (whole loop),10.957,
1024,1,0.4,um_migrate_no_prefetch,Full    E2E,10.957,
1024,1,0.4,um_migrate_no_prefetch,CPU read time,0.951,
1024,1,0.4,gh_hbm_shared,WARMUP GPU Kernel (first iter),0.098,
1024,1,0.4,gh_hbm_shared,WARMUP CPU compute (first iter),0.562,
1024,1,0.4,gh_hbm_shared,WARMUP total time,1.307,
1024,1,0.4,gh_hbm_shared,Pre Kernel Costs,0.222,
1024,1,0.4,gh_hbm_shared,GPU Kernel avg,0.008,
1024,1,0.4,gh_hbm_shared,CPU compute,0.541,
1024,1,0.4,gh_hbm_shared,GPU Kernel total,0.008,
1024,1,0.4,gh_hbm_shared,CPU compute total,0.541,
1024,1,0.4,gh_hbm_shared,Compute E2E (avg per-iter),0.585,
1024,1,0.4,gh_hbm_shared,Compute E2E (whole loop),2.698,
1024,1,0.4,gh_hbm_shared,Full    E2E,2.92,
1024,1,0.4,gh_hbm_shared,CPU read time,0.802,
1024,1,0.4,gh_hbm_shared_no_prefetch,WARMUP GPU Kernel (first iter),0.393,
1024,1,0.4,gh_hbm_shared_no_prefetch,WARMUP CPU compute (first iter),0.789,
1024,1,0.4,gh_hbm_shared_no_prefetch,WARMUP total time,1.561,
1024,1,0.4,gh_hbm_shared_no_prefetch,Pre Kernel Costs,0.0,
1024,1,0.4,gh_hbm_shared_no_prefetch,GPU Kernel avg,0.009,
1024,1,0.4,gh_hbm_shared_no_prefetch,CPU compute,0.573,
1024,1,0.4,gh_hbm_shared_no_prefetch,GPU Kernel total,0.009,
1024,1,0.4,gh_hbm_shared_no_prefetch,CPU compute total,0.573,
