STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%%    Threads  Total(ms)    Cold(ms)     Warm(ms)     Read(ms)     UMback(ms)
gh_hbm_shared_no_prefetch 2048     1     5       15     8        9.320        9.320        --           4.107        --        
gh_hbm_shared_no_prefetch 2048     1     5       15     16       9.285        9.285        --           4.173        --        
gh_hbm_shared_no_prefetch 2048     1     5       15     32       9.671        9.671        --           4.107        --        
gh_hbm_shared_no_prefetch 2048     1     5       15     64       9.264        9.264        --           4.088        --        
gh_hbm_shared_no_prefetch 2048     1     5       20     1        8.943        8.943        --           4.049        --        
gh_hbm_shared_no_prefetch 2048     1     5       20     2        9.402        9.402        --           4.043        --        
gh_hbm_shared_no_prefetch 2048     1     5       20     4        9.116        9.116        --           4.063        --        
gh_hbm_shared_no_prefetch 2048     1     5       20     8        8.285        8.285        --           4.061        --        
gh_hbm_shared_no_prefetch 2048     1     5       20     16       8.576        8.576        --           4.043        --        
gh_hbm_shared_no_prefetch 2048     1     5       20     32       8.306        8.306        --           4.049        --        
gh_hbm_shared_no_prefetch 2048     1     5       20     64       8.723        8.723        --           4.070        --        
gh_hbm_shared_no_prefetch 2048     1     5       25     1        8.502        8.502        --           3.955        --        
gh_hbm_shared_no_prefetch 2048     1     5       25     2        8.993        8.993        --           3.946        --        
gh_hbm_shared_no_prefetch 2048     1     5       25     4        8.265        8.265        --           3.941        --        
gh_hbm_shared_no_prefetch 2048     1     5       25     8        8.357        8.357        --           3.955        --        
gh_hbm_shared_no_prefetch 2048     1     5       25     16       8.279        8.279        --           3.940        --        
gh_hbm_shared_no_prefetch 2048     1     5       25     32       8.114        8.114        --           3.952        --        
gh_hbm_shared_no_prefetch 2048     1     5       25     64       8.256        8.256        --           3.937        --        
gh_hbm_shared_no_prefetch 2048     1     5       30     1        8.480        8.480        --           3.844        --        
gh_hbm_shared_no_prefetch 2048     1     5       30     2        8.567        8.567        --           3.851        --        
gh_hbm_shared_no_prefetch 2048     1     5       30     4        8.512        8.512        --           3.850        --        
gh_hbm_shared_no_prefetch 2048     1     5       30     8        8.553        8.553        --           3.861        --        
gh_hbm_shared_no_prefetch 2048     1     5       30     16       8.407        8.407        --           3.874        --        
gh_hbm_shared_no_prefetch 2048     1     5       30     32       8.235        8.235        --           3.853        --        
gh_hbm_shared_no_prefetch 2048     1     5       30     64       8.019        8.019        --           3.845        --        
----------------------------------------------------------------------------------------------------------------
um_migrate             2048     2     5       10     1        19.728       9.871        9.857        2.584        0.308     
um_migrate             2048     2     5       10     2        19.740       9.524        10.216       2.582        0.323     
um_migrate             2048     2     5       10     4        18.831       9.104        9.727        2.581        0.336     
um_migrate             2048     2     5       10     8        19.239       9.183        10.056       2.601        0.296     
um_migrate             2048     2     5       10     16       19.423       9.563        9.860        2.583        0.325     
um_migrate             2048     2     5       10     32       19.835       9.663        10.172       2.584        0.329     
um_migrate             2048     2     5       10     64       20.398       10.244       10.154       2.586        0.366     
um_migrate             2048     2     5       15     1        18.051       8.887        9.164        2.581        0.302     
um_migrate             2048     2     5       15     2        18.966       9.271        9.695        2.581        0.311     
um_migrate             2048     2     5       15     4        18.426       8.773        9.653        2.584        0.305     
um_migrate             2048     2     5       15     8        18.347       9.385        8.962        2.605        0.317     
um_migrate             2048     2     5       15     16       17.804       8.467        9.337        2.589        0.311     
um_migrate             2048     2     5       15     32       17.737       8.809        8.928        2.586        0.302     
um_migrate             2048     2     5       15     64       18.601       9.368        9.233        2.580        0.335     
um_migrate             2048     2     5       20     1        17.012       8.367        8.645        2.578        0.285     
um_migrate             2048     2     5       20     2        16.815       8.398        8.417        2.580        0.312     
um_migrate             2048     2     5       20     4        17.019       8.843        8.176        2.580        0.299     
um_migrate             2048     2     5       20     8        16.690       8.299        8.391        2.584        0.302     
um_migrate             2048     2     5       20     16       16.321       8.021        8.300        2.601        0.283     
um_migrate             2048     2     5       20     32       16.146       7.911        8.235        2.580        0.292     
um_migrate             2048     2     5       20     64       16.545       7.942        8.603        2.583        0.316     
um_migrate             2048     2     5       25     1        15.972       7.973        7.999        2.583        0.267     
um_migrate             2048     2     5       25     2        16.006       8.191        7.815        2.583        0.296     
um_migrate             2048     2     5       25     4        17.201       8.792        8.409        2.584        0.305     
um_migrate             2048     2     5       25     8        16.726       8.325        8.401        2.582        0.308     
um_migrate             2048     2     5       25     16       16.698       8.225        8.473        2.627        0.296     
um_migrate             2048     2     5       25     32       16.190       8.088        8.102        2.585        0.277     
um_migrate             2048     2     5       25     64       16.013       8.080        7.933        2.580        0.311     
um_migrate             2048     2     5       30     1        15.401       7.749        7.652        2.590        0.275     
um_migrate             2048     2     5       30     2        16.391       8.316        8.075        2.583        0.255     
um_migrate             2048     2     5       30     4        15.877       7.690        8.187        2.581        0.274     
um_migrate             2048     2     5       30     8        15.908       7.962        7.946        2.588        0.284     
um_migrate             2048     2     5       30     16       15.945       7.861        8.084        2.596        0.278     
um_migrate             2048     2     5       30     32       16.520       8.077        8.443        2.584        0.279     
um_migrate             2048     2     5       30     64       15.996       7.653        8.343        2.586        0.286     
gh_hbm_shared          2048     2     5       10     1        19.280       9.725        9.555        4.164        --        
gh_hbm_shared          2048     2     5       10     2        19.444       9.400        10.044       4.201        --        
gh_hbm_shared          2048     2     5       10     4        19.727       9.938        9.789        4.194        --        
gh_hbm_shared          2048     2     5       10     8        20.141       9.720        10.421       4.206        --        
gh_hbm_shared          2048     2     5       10     16       20.039       10.136       9.903        4.163        --        
gh_hbm_shared          2048     2     5       10     32       18.822       9.357        9.465        4.218        --        
gh_hbm_shared          2048     2     5       10     64       19.013       9.361        9.652        4.172        --        
gh_hbm_shared          2048     2     5       15     1        18.227       8.945        9.282        4.117        --        
gh_hbm_shared          2048     2     5       15     2        19.101       9.572        9.529        4.202        --        
gh_hbm_shared          2048     2     5       15     4        17.951       8.906        9.045        4.093        --        
gh_hbm_shared          2048     2     5       15     8        18.017       8.764        9.253        4.094        --        
gh_hbm_shared          2048     2     5       15     16       18.358       9.107        9.251        4.136        --        
gh_hbm_shared          2048     2     5       15     32       17.995       8.914        9.081        4.083        --        
gh_hbm_shared          2048     2     5       15     64       18.001       8.945        9.056        4.100        --        
gh_hbm_shared          2048     2     5       20     1        16.202       8.046        8.156        4.035        --        
gh_hbm_shared          2048     2     5       20     2        17.194       8.548        8.646        4.010        --        
gh_hbm_shared          2048     2     5       20     4        16.778       8.337        8.441        4.110        --        
gh_hbm_shared          2048     2     5       20     8        16.107       7.778        8.329        4.003        --        
gh_hbm_shared          2048     2     5       20     16       16.112       8.129        7.983        4.066        --        
gh_hbm_shared          2048     2     5       20     32       16.466       8.240        8.226        4.056        --        
gh_hbm_shared          2048     2     5       20     64       15.892       8.079        7.813        4.052        --        
gh_hbm_shared          2048     2     5       25     1        16.098       7.999        8.099        3.897        --        
gh_hbm_shared          2048     2     5       25     2        15.643       7.324        8.319        3.917        --        
gh_hbm_shared          2048     2     5       25     4        16.660       8.322        8.338        3.925        --        
gh_hbm_shared          2048     2     5       25     8        15.921       7.834        8.087        3.952        --        
gh_hbm_shared          2048     2     5       25     16       16.283       7.760        8.523        3.984        --        
gh_hbm_shared          2048     2     5       25     32       16.141       8.190        7.951        3.948        --        
gh_hbm_shared          2048     2     5       25     64       16.833       8.332        8.501        3.928        --        
gh_hbm_shared          2048     2     5       30     1        16.068       7.866        8.202        3.870        --        
gh_hbm_shared          2048     2     5       30     2        15.747       7.547        8.200        3.864        --        
gh_hbm_shared          2048     2     5       30     4        15.889       7.803        8.086        3.847        --        
gh_hbm_shared          2048     2     5       30     8        16.428       8.189        8.239        3.868        --        
gh_hbm_shared          2048     2     5       30     16       15.995       7.886        8.109        3.867        --        
gh_hbm_shared          2048     2     5       30     32       15.669       7.710        7.959        3.871        --        
gh_hbm_shared          2048     2     5       30     64       16.265       8.136        8.129        3.844        --        
gh_cpu_shared          2048     2     5       10     1        .659         0.344        0.315        2.627        --        
gh_cpu_shared          2048     2     5       10     2        .657         0.342        0.315        2.635        --        
gh_cpu_shared          2048     2     5       10     4        .660         0.346        0.314        2.628        --        
gh_cpu_shared          2048     2     5       10     8        .657         0.344        0.313        2.607        --        
gh_cpu_shared          2048     2     5       10     16       .681         0.369        0.312        2.598        --        
gh_cpu_shared          2048     2     5       10     32       .722         0.412        0.310        2.598        --        
gh_cpu_shared          2048     2     5       10     64       .830         0.518        0.312        2.600        --        
gh_cpu_shared          2048     2     5       15     1        .823         0.431        0.392        2.662        --        
gh_cpu_shared          2048     2     5       15     2        .628         0.331        0.297        2.650        --        
gh_cpu_shared          2048     2     5       15     4        .632         0.330        0.302        2.649        --        
gh_cpu_shared          2048     2     5       15     8        .630         0.331        0.299        2.617        --        
gh_cpu_shared          2048     2     5       15     16       .652         0.353        0.299        2.595        --        
gh_cpu_shared          2048     2     5       15     32       .700         0.402        0.298        2.600        --        
gh_cpu_shared          2048     2     5       15     64       .815         0.518        0.297        2.600        --        
gh_cpu_shared          2048     2     5       20     1        .953         0.491        0.462        2.620        --        
gh_cpu_shared          2048     2     5       20     2        .619         0.332        0.287        2.598        --        
gh_cpu_shared          2048     2     5       20     4        .601         0.316        0.285        2.622        --        
