section,N,iters,frac,mode,kernel_ms,bandwidth_GBps
HYBRID SWEEP,4096,10,0.4,gh_hbm_shared_no_prefetch,0.187,1432.92
HYBRID SWEEP,4096,10,0.4,gh_cpu_shared,4.097,65.52
HYBRID SWEEP,4096,10,0.4,gh_hmm_pageable,4.224,63.55
HYBRID SWEEP,4096,10,0.4,gh_hmm_pageable_cuda_init,0.202,1326.07
HYBRID SWEEP,4096,10,0.5,um_migrate,7.249,37.03
HYBRID SWEEP,4096,10,0.5,um_migrate_no_prefetch,6.176,43.46
HYBRID SWEEP,4096,10,0.5,gh_hbm_shared,0.161,1670.67
HYBRID SWEEP,4096,10,0.5,gh_hbm_shared_no_prefetch,0.16,1678.7
HYBRID SWEEP,4096,10,0.5,gh_cpu_shared,3.331,80.58
HYBRID SWEEP,4096,10,0.5,gh_hmm_pageable,5.158,52.04
HYBRID SWEEP,4096,10,0.5,gh_hmm_pageable_cuda_init,0.176,1525.06
HYBRID SWEEP,4096,10,0.7,um_migrate,9.699,27.68
HYBRID SWEEP,4096,10,0.7,um_migrate_no_prefetch,8.899,30.16
HYBRID SWEEP,4096,10,0.7,gh_hbm_shared,0.113,2380.56
HYBRID SWEEP,4096,10,0.7,gh_hbm_shared_no_prefetch,0.113,2371.94
HYBRID SWEEP,4096,10,0.7,gh_cpu_shared,2.025,132.57
HYBRID SWEEP,4096,10,0.7,gh_hmm_pageable,0.958,280.16
HYBRID SWEEP,4096,10,0.7,gh_hmm_pageable_cuda_init,0.12,2231.55
HYBRID SWEEP,4096,10,0.8,um_migrate,11.733,22.88
HYBRID SWEEP,4096,10,0.8,um_migrate_no_prefetch,11.09,24.2
HYBRID SWEEP,4096,10,0.8,gh_hbm_shared,0.08,3353.7
HYBRID SWEEP,4096,10,0.8,gh_hbm_shared_no_prefetch,0.079,3405.85
HYBRID SWEEP,4096,10,0.8,gh_cpu_shared,1.371,195.82
HYBRID SWEEP,4096,10,0.8,gh_hmm_pageable,0.545,492.99
HYBRID SWEEP,4096,10,0.8,gh_hmm_pageable_cuda_init,0.083,3252.53
HYBRID SWEEP,8192,5,0.1,um_migrate,28.405,37.8
HYBRID SWEEP,8192,5,0.1,um_migrate_no_prefetch,23.39,45.91
HYBRID SWEEP,8192,5,0.1,gh_hbm_shared,0.981,1093.98
HYBRID SWEEP,8192,5,0.1,gh_hbm_shared_no_prefetch,0.989,1086.12
HYBRID SWEEP,8192,5,0.1,gh_cpu_shared,25.032,42.9
HYBRID SWEEP,8192,5,0.1,gh_hmm_pageable,28.088,38.23
HYBRID SWEEP,8192,5,0.1,gh_hmm_pageable_cuda_init,1.083,991.5
HYBRID SWEEP,8192,5,0.2,um_migrate,29.735,36.11
HYBRID SWEEP,8192,5,0.2,um_migrate_no_prefetch,24.202,44.37
HYBRID SWEEP,8192,5,0.2,gh_hbm_shared,0.888,1209.81
HYBRID SWEEP,8192,5,0.2,gh_hbm_shared_no_prefetch,0.883,1215.38
HYBRID SWEEP,8192,5,0.2,gh_cpu_shared,22.303,48.14
HYBRID SWEEP,8192,5,0.2,gh_hmm_pageable,23.205,46.27
HYBRID SWEEP,8192,5,0.2,gh_hmm_pageable_cuda_init,0.978,1098.01
HYBRID SWEEP,8192,5,0.3,um_migrate,28.8,37.28
HYBRID SWEEP,8192,5,0.3,um_migrate_no_prefetch,23.013,46.66
HYBRID SWEEP,8192,5,0.3,gh_hbm_shared,0.789,1361.47
