STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     Warmup(ms)    End2End(ms)   FullE2E(ms)  
gh_cpu_shared          2048     1     10      70     72       --         --           --         --           0.085      --         0.148      --           1.639         0.234         1.873        
gh_cpu_shared          2048     1     10      80     72       --         --           --         --           0.062      --         0.069      --           1.686         0.147         1.833        
gh_hmm_pageable        2048     1     10      0      72       --         --           --         --           0.028      --         0.000      --           135.679       0.036         135.715      
gh_hmm_pageable        2048     1     10      10     72       --         --           --         --           0.026      --         0.023      --           141.975       0.115         142.090      
gh_hmm_pageable        2048     1     10      25     72       --         --           --         --           0.024      --         0.026      --           139.272       0.111         139.383      
gh_hmm_pageable        2048     1     10      30     72       --         --           --         --           0.023      --         0.020      --           135.634       0.097         135.731      
gh_hmm_pageable        2048     1     10      50     72       --         --           --         --           0.020      --         0.059      --           130.472       0.125         130.597      
gh_hmm_pageable        2048     1     10      70     72       --         --           --         --           0.017      --         0.032      --           131.043       0.085         131.128      
gh_hmm_pageable        2048     1     10      80     72       --         --           --         --           0.017      --         0.032      --           131.310       0.080         131.390      
gh_hmm_pageable_gpu_init 2048     1     10      0      72       --         --           --         --           0.027      --         0.000      --           0.103         0.034         0.137        
gh_hmm_pageable_gpu_init 2048     1     10      10     72       --         --           --         --           0.027      --         0.024      --           1.559         0.118         1.677        
gh_hmm_pageable_gpu_init 2048     1     10      25     72       --         --           --         --           0.025      --         0.043      --           1.603         0.123         1.726        
gh_hmm_pageable_gpu_init 2048     1     10      30     72       --         --           --         --           0.024      --         0.035      --           1.622         0.111         1.733        
gh_hmm_pageable_gpu_init 2048     1     10      50     72       --         --           --         --           0.021      --         0.059      --           1.723         0.124         1.847        
gh_hmm_pageable_gpu_init 2048     1     10      70     72       --         --           --         --           0.018      --         0.062      --           1.732         0.118         1.850        
gh_hmm_pageable_gpu_init 2048     1     10      80     72       --         --           --         --           0.019      --         0.058      --           1.699         0.107         1.806        
