STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     End2End(ms)   FullE2E(ms)  
gh_hbm_shared_no_prefetch 2048     1     10      80     72       --         --           --         --           0.017      --         0.033      --           0.118         1.967        
----------------------------------------------------------------------------------------------------------------
explicit               2048     2     10      0      72       0.208      --           0.155      --           0.052      --         0.000      --           0.067         0.657        
explicit               2048     2     10      10     72       0.195      --           0.123      --           0.049      --         0.032      --           0.136         3.037        
explicit               2048     2     10      25     72       0.197      --           0.131      --           0.043      --         0.037      --           0.135         3.139        
explicit               2048     2     10      30     72       0.202      --           0.135      --           0.042      --         0.040      --           0.137         3.234        
explicit               2048     2     10      50     72       0.197      --           0.151      --           0.033      --         0.050      --           0.148         3.293        
explicit               2048     2     10      70     72       0.193      --           0.166      --           0.031      --         0.061      --           0.167         3.426        
explicit               2048     2     10      80     72       0.195      --           0.173      --           0.031      --         0.070      --           0.182         3.795        
um_migrate             2048     2     10      0      72       --         5.442        --         0.361        0.052      --         0.000      --           0.067         6.110        
um_migrate             2048     2     10      10     72       --         5.448        --         0.338        12.781     --         0.381      --           19.077        66.107       
um_migrate             2048     2     10      25     72       --         5.467        --         0.289        10.819     --         0.374      --           16.258        54.885       
um_migrate             2048     2     10      30     72       --         5.470        --         0.291        10.846     --         0.361      --           15.874        54.295       
um_migrate             2048     2     10      50     72       --         5.430        --         0.258        7.601      --         0.430      --           11.339        39.681       
um_migrate             2048     2     10      70     72       --         5.503        --         0.175        4.139      --         0.396      --           6.594         28.617       
um_migrate             2048     2     10      80     72       --         5.465        --         0.149        3.714      --         0.433      --           5.307         25.130       
gh_hbm_shared          2048     2     10      0      72       --         0.311        --         --           0.052      --         0.000      --           0.067         0.654        
gh_hbm_shared          2048     2     10      10     72       --         0.326        --         --           0.050      --         0.103      --           0.438         2.907        
gh_hbm_shared          2048     2     10      25     72       --         0.333        --         --           0.044      --         0.098      --           0.389         2.844        
gh_hbm_shared          2048     2     10      30     72       --         0.308        --         --           0.042      --         0.119      --           0.399         2.853        
gh_hbm_shared          2048     2     10      50     72       --         0.287        --         --           0.033      --         0.104      --           0.339         2.694        
gh_hbm_shared          2048     2     10      70     72       --         0.304        --         --           0.032      --         0.098      --           0.286         2.605        
gh_hbm_shared          2048     2     10      80     72       --         0.356        --         --           0.032      --         0.070      --           0.233         2.622        
gh_cpu_shared          2048     2     10      0      72       --         --           --         --           0.455      --         0.000      --           0.470         1.651        
gh_cpu_shared          2048     2     10      10     72       --         --           --         --           0.427      --         0.366      --           0.605         3.061        
gh_cpu_shared          2048     2     10      25     72       --         --           --         --           0.360      --         0.383      --           0.576         2.955        
gh_cpu_shared          2048     2     10      30     72       --         --           --         --           0.332      --         0.379      --           0.560         2.926        
gh_cpu_shared          2048     2     10      50     72       --         --           --         --           0.259      --         0.406      --           0.567         3.016        
gh_cpu_shared          2048     2     10      70     72       --         --           --         --           0.168      --         0.277      --           0.450         2.546        
gh_cpu_shared          2048     2     10      80     72       --         --           --         --           0.122      --         0.105      --           0.271         2.196        
gh_hmm_pageable        2048     2     10      0      72       --         --           --         --           0.052      --         0.000      --           0.067         140.761      
gh_hmm_pageable        2048     2     10      10     72       --         --           --         --           0.052      --         0.060      --           0.253         145.974      
gh_hmm_pageable        2048     2     10      25     72       --         --           --         --           0.048      --         0.051      --           0.214         142.741      
gh_hmm_pageable        2048     2     10      30     72       --         --           --         --           0.043      --         0.089      --           0.240         140.371      
gh_hmm_pageable        2048     2     10      50     72       --         --           --         --           0.037      --         0.046      --           0.171         140.483      
gh_hmm_pageable        2048     2     10      70     72       --         --           --         --           0.033      --         0.056      --           0.155         140.367      
