STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     Warmup(ms)    End2End(ms)   FullE2E(ms)  
gh_hmm_pageable        2048     2     10      80     72       --         --           --         --           0.032      --         0.086      --           140.029       0.178         140.207      
gh_hmm_pageable_gpu_init 2048     2     10      0      72       --         --           --         --           0.053      --         0.000      --           0.170         0.068         0.238        
gh_hmm_pageable_gpu_init 2048     2     10      10     72       --         --           --         --           0.054      --         0.048      --           1.845         0.236         2.081        
gh_hmm_pageable_gpu_init 2048     2     10      25     72       --         --           --         --           0.049      --         0.058      --           1.798         0.215         2.013        
gh_hmm_pageable_gpu_init 2048     2     10      30     72       --         --           --         --           0.046      --         0.143      --           1.988         0.296         2.284        
gh_hmm_pageable_gpu_init 2048     2     10      50     72       --         --           --         --           0.039      --         0.089      --           1.900         0.216         2.116        
gh_hmm_pageable_gpu_init 2048     2     10      70     72       --         --           --         --           0.037      --         0.091      --           1.930         0.197         2.127        
gh_hmm_pageable_gpu_init 2048     2     10      80     72       --         --           --         --           0.035      --         0.408      --           2.565         0.510         3.075        
um_migrate_no_prefetch 2048     2     10      0      72       --         --           --         --           0.051      --         0.000      --           13.035        0.066         13.101       
um_migrate_no_prefetch 2048     2     10      10     72       --         --           --         --           12.165     --         0.393      --           39.342        17.820        57.162       
um_migrate_no_prefetch 2048     2     10      25     72       --         --           --         --           10.208     --         0.421      --           32.996        15.751        48.747       
um_migrate_no_prefetch 2048     2     10      30     72       --         --           --         --           11.150     --         0.317      --           34.124        16.165        50.289       
um_migrate_no_prefetch 2048     2     10      50     72       --         --           --         --           7.390      --         0.488      --           23.029        11.111        34.140       
um_migrate_no_prefetch 2048     2     10      70     72       --         --           --         --           3.912      --         0.430      --           15.858        6.435         22.293       
um_migrate_no_prefetch 2048     2     10      80     72       --         --           --         --           3.819      --         0.402      --           12.493        5.403         17.896       
gh_hbm_shared_no_prefetch 2048     2     10      0      72       --         --           --         --           0.052      --         0.000      --           0.999         0.066         1.065        
gh_hbm_shared_no_prefetch 2048     2     10      10     72       --         --           --         --           0.050      --         0.093      --           2.281         0.429         2.710        
gh_hbm_shared_no_prefetch 2048     2     10      25     72       --         --           --         --           0.044      --         0.115      --           2.262         0.408         2.670        
